city,state,shape,date
Lincoln,NE,light,2006-03-31
Claremore,OK,disk,2006-03-31
Sacramento,CA,formation,2006-03-31
"Furnace Creek, ca",CA,light,2006-03-31
Fairfiled,ID,light,2006-04-01
Boston,MA,fireball,2006-04-01
Windham,ME,light,2006-04-01
Tulsa,OK,oval,2006-04-01
Westminster,CO,light,2006-04-01
Beardstown,IL,sphere,2006-04-01
St Louis,MO,light,2006-04-01
Lexington,NC,flash,2006-04-01
Jasper,TN,disk,NA
New Castle,PA,disk,1969-07-01
NA,IN,NA,1970-06-30
West Seneca,NY,unknown,1970-08-15
Calhoun,IL,NA,1974-05-23
North Burnaby,BC,disk,1975-07-14
Mount Vernon,IN,NA,1977-08-15
Delaware,OH,NA,1977-08-15
Christchurch (New Zealand),NA,triangle,1978-06-01
Humnoke,AR,light,1979-01-07
Tarboro,NC,triangle,1979-08-15
Adelaide,SK,disk,1980-02-07
Miami,FL,circle,2006-04-01
Miami,FL,triangle,2006-04-01
Macomb,IL,triangle,2006-04-01
San Jose,CA,other,2006-04-02
El Cajon,CA,circle,2006-04-02
Carrollton,TX,light,2006-04-02
Miami,FL,formation,2006-04-02
Elizabeth,NJ,sphere,2006-04-02
San Bernardino,CA,diamond,2006-04-02
Smithville,TX,oval,2006-04-02
E. Northport,NY,formation,2006-04-02
Heacham,NA,triangle,1980-07-01
Webster,MA,oval,1981-12-25
out in the country not city,TX,rectangle,1982-01-01
Solomon,KS,light,1982-08-15
Garden City,MI,circle,1983-06-15
Vincent,AL,circle,1984-10-31
Union City,NA,oval,1985-06-15
Pacific Ocean,WA,sphere,1988-05-16
Phoenix,AZ,unknown,1988-09-01
Phoenix,AZ,unknown,1988-09-01
Hamden,CT,oval,2006-04-02
Hamilton,ON,disk,2006-04-03
Latonia,KY,rectangle,2006-04-03
Winston-Salem,NC,fireball,2006-04-03
Bowie,TX,changing,2006-04-03
Verona,PA,other,2006-04-03
Bremerton,WA,sphere,2006-04-03
Los Angeles,CA,unknown,2006-04-03
Maale Adummim (Israel),NA,other,2006-04-03
Tidewater,OR,fireball,2006-04-03
North Bend,OR,circle,2006-04-03
Heacham (UK/England),NA,triangle,1989-07-15
Ava,NY,triangle,1990-07-15
Frankfort,IN,NA,1995-09-01
Margate (UK/England),NA,egg,1997-01-09
Aransas Pass,TX,circle,1998-06-01
Kansas City,MO,light,1999-06-11
San Antonio,TX,circle,2000-03-12
Stranger,KS,other,2000-06-22
Blackstone,VA,circle,2006-09-15
Kirkland,WA,other,2007-10-10
Pottsville,PA,circle,2010-07-16
Darien Center,NY,diamond,2010-08-27
Cardiff (UK/Wales),NA,other,2006-04-03
Loganville,GA,light,2006-04-04
Frazier Park,CA,circle,2006-04-04
Colorado Springs,CO,circle,2006-04-04
Akron,OH,fireball,2006-04-04
Salford (UK/England),NA,cigar,2006-04-04
Sioux Falls,SD,unknown,2006-04-04
Vancouver,BC,triangle,2006-04-04
Leigh (UK/England),NA,circle,2006-04-04
Richmond,BC,triangle,2006-04-04
Milton,ON,sphere,2006-04-04
Oneida,TN,circle,2011-06-23
Lynn,MA,circle,2012-06-30
Huntersville,NC,sphere,2012-07-31
South Bend,IN,sphere,2012-09-09
Burnsville,MN,fireball,2013-04-12
Liverpool (UK/England),NA,sphere,2013-05-19
Mission Viejo,CA,unknown,2013-07-16
Gray Court,SC,cylinder,2014-02-15
Pickerington,OH,formation,2014-08-01
Negaunee,MI,light,2015-02-15
Rossville,IL,light,2006-04-04
Washington,DC,oval,2006-04-05
Erie,PA,disk,2006-04-05
Erie,PA,disk,2006-04-05
Newhall,CA,circle,2006-04-05
Shingletown,CA,disk,2006-04-05
Silverdale,WA,sphere,2006-04-05
Palatka,FL,disk,2006-04-05
Diablo Lake,WA,light,2015-07-23
Barber,OK,triangle,2016-06-19
Riverside,CA,sphere,2016-08-12
Queens,NY,oval,2016-10-02
Park County,CO,chevron,2017-03-15
Boise,ID,unknown,2017-06-03
Colorado Springs?,CO,unknown,2017-06-08
Sedona,AZ,cylinder,2017-07-01
Cornwall,ON,fireball,2017-07-17
Centralia,WA,fireball,2006-04-05
Des Moines,WA,fireball,2006-04-05
Graham,WA,disk,2006-04-05
San Marcos,TX,triangle,2006-04-05
Oklahoma City,OK,circle,2006-04-05
Sammamish,WA,circle,2006-04-06
Scottsdale,AZ,triangle,2006-04-06
Ottovile,OH,light,2006-04-06
McCamey,TX,oval,2006-04-06
Ashford (UK/England),NA,triangle,2006-04-06
Kirkland,WA,unknown,2006-04-06
Las Cruces,NM,sphere,2017-08-04
Lakeport,CA,circle,2017-09-27
Haines City,FL,circle,2018-03-17
Port Charlotte,FL,chevron,2018-04-16
Boise,ID,NA,2018-07-26
Apollo,PA,cone,2018-07-27
Millington,TN,formation,2018-08-07
Millington,TN,formation,2018-08-07
Danville,IL,oval,2018-08-09
Albany,NY,circle,2018-10-10
Phoenix,AZ,cylinder,2006-04-06
Leeds (UK/England),NA,light,2006-04-06
Ilford,MB,light,2006-04-06
Monroe,LA,disk,2006-04-07
Nevada City,CA,light,2006-04-07
Melbourne (Australia),NA,disk,2006-04-07
Limerick,PA,unknown,2006-04-07
Fresno,CA,light,2006-04-07
El Dorado Hills,CA,unknown,2006-04-07
Hollister,CA,unknown,2006-04-07
Ardonia,NY,light,2018-11-11
Greenville,SC,NA,2019-03-01
Polacca,AZ,unknown,2019-03-02
Lawndale,NC,disk,2019-03-31
Philadelphia,PA,cylinder,2019-04-01
Richland,WA,triangle,2019-04-02
Panama City Beach,FL,other,2019-04-30
Hemet,CA,NA,2019-05-10
Laveen,AZ,disk,2019-05-19
Highlandtown Lake,OH,disk,2019-05-27
Sacramento,CA,light,2006-04-07
San Jose,CA,other,2006-04-07
London (UK/England),NA,oval,2006-04-07
Mississauga,ON,disk,2006-04-07
Maynardville,TN,light,2006-04-07
Hebronville,TX,other,2006-04-07
Pond Inlet,NT,circle,2006-04-07
Omaha,NE,triangle,2006-04-07
Los Angeles,CA,changing,2006-04-08
Fort Collins,CO,changing,2006-04-08
Hampton,CT,light,2019-05-28
Hampton,CT,light,2019-05-28
Phoenix,AZ,rectangle,2019-05-29
Indian Trail,NC,cone,2019-06-01
Pottsville,PA,circle,2019-06-16
Hixton,WI,light,2019-06-20
Mesick,MI,oval,2019-06-21
Danville,IL,fireball,2019-06-24
Nesquehoning,PA,oval,2019-06-26
Fort Collins,CO,changing,2006-04-08
Beardstown,IL,formation,2006-04-08
Pecos,NM,disk,2006-04-08
Santa Clarita,CA,circle,2006-04-08
Oley,PA,sphere,2006-04-08
Sanbornton,NH,disk,2006-04-08
Augusta,GA,light,2006-04-08
Schererville,IN,unknown,2006-04-09
Mira Loma,CA,fireball,2006-04-09
Corte Madera,CA,sphere,2019-06-27
Allison Park,PA,NA,2019-06-27
Kannapolis,NC,light,2019-06-28
Oak Island,NC,rectangle,2019-06-30
Derby,VT,fireball,2019-07-01
York,PA,oval,2019-07-01
Antonito,CO,triangle,2019-07-04
Westport,WA,other,2019-07-04
Ocean City,MD,other,2019-07-05
Montreal,QC,formation,2006-04-09
Philadelphia,PA,cigar,2006-04-09
Quapaw,OK,cigar,2006-04-09
Little Rock,AR,light,2006-04-09
Mandeville,LA,light,2006-04-09
Wauseon,OH,triangle,2006-04-10
Fleetwood (UK/England),NA,disk,2006-04-10
Burnsville,MN,formation,2006-04-10
Sunrise,FL,unknown,2006-04-10
Coventry (UK/England),NA,formation,2006-04-11
Atlantic Ocean (240 miles E of FL),NA,rectangle,2019-07-07
Stephenville,TX,other,2019-07-10
Elgin,IL,formation,2019-07-10
Chicopee,MA,other,2019-07-11
Salt Lake City,UT,circle,2019-07-15
Cortez,CO,disk,2019-07-15
Eufaula,OK,circle,2019-07-17
Atlantic City??,NJ,unknown,2019-07-17
Denham Springs,LA,unknown,2019-07-19
Greenbush,MI,formation,2019-07-20
Cornelius,NC,unknown,2019-07-20
Orlando,FL,oval,2006-04-11
Augusta,GA,light,2006-04-11
Flint,MI,triangle,2006-04-11
Malibu,CA,other,2006-04-11
Huntington Park,CA,changing,2006-04-12
Golden,CO,formation,2006-04-12
Pensacola,FL,triangle,2006-04-12
Arlington,TX,triangle,2006-04-12
Hessel,MI,cigar,2006-04-13
Orlando,FL,light,2006-04-13
Arlee,MT,oval,2019-07-20
Ann Arbor,MI,circle,2019-07-20
Ann Arbor,MI,circle,2019-07-20
Bozeman,MT,sphere,2019-07-20
Rio Rancho,NM,oval,2019-07-21
Nutley,NJ,circle,2019-07-22
Albuquerque,NM,oval,2019-07-22
Clayville,NY,circle,2019-07-22
Boiling Springs,SC,other,2019-07-23
Clarksville,TN,NA,2019-07-23
Mercer,PA,light,2006-04-13
Madrid (Spain),NA,other,2006-04-13
Denver,CO,triangle,2006-04-13
Wise,VA,light,2006-04-13
Fort Worth,TX,other,2006-04-13
Jamestown,NY,triangle,2006-04-13
Howell,NJ,disk,2006-04-14
New York,NY,light,2006-04-14
London (UK/England),NA,sphere,2006-04-14
Camberley (UK/England),NA,teardrop,2006-04-14
Norwalk,CT,NA,2019-07-23
Farmington,MO,unknown,2019-07-23
Bakersfield,CA,other,2019-07-23
Sussex,WI,unknown,2019-07-23
Helena,MT,NA,2019-07-23
Helena,MT,NA,2019-07-23
Walla Walla,WA,NA,2019-07-23
Alexandria,VA,NA,2019-07-23
Moose Jaw,SK,cigar,2019-07-23
Loon Lake,WA,diamond,2019-07-23
Naperville,IL,sphere,2006-04-14
El Paso,TX,other,2006-04-14
Shoreline,WA,egg,2006-04-14
La Quinta,CA,light,2006-04-14
Denver,CO,oval,2006-04-15
Berwick,LA,triangle,2006-04-15
Vermilion,OH,cylinder,2006-04-15
Pensacola,FL,circle,2006-04-15
Hutchinson,KS,unknown,2006-04-15
Kirtland,NM,light,2006-04-15
Boise,ID,NA,2019-07-24
Star,ID,other,2019-07-24
St Louis,MO,unknown,2019-07-24
Westport,CT,circle,2019-07-24
Estes,CO,NA,2019-07-24
Newton,NJ,sphere,2019-07-24
Plymouth,CT,egg,2019-07-24
New York,NY,flash,2019-07-24
Tukwila,WA,circle,2019-07-24
Happy Valley,OR,rectangle,2019-07-24
Couburg,ON,formation,2006-04-15
Malaga (Spain),NA,fireball,2006-04-15
Camp Albert Pike,AR,unknown,2006-04-15
"Marbella, Costa del Sol (Spain)",NA,fireball,2006-04-15
Gloucester (UK/England),NA,triangle,2006-04-16
Nassau (Bahamas),NA,teardrop,2006-04-16
Hoover,AL,other,2006-04-16
Lenior City,TN,disk,2006-04-16
Little Rock,AR,fireball,2006-04-16
Seattle,WA,circle,2006-04-16
Round Rock,TX,disk,2019-07-25
Bryson,TX,other,2019-07-25
Raleigh,NC,cigar,2019-07-25
Warwick,RI,triangle,2019-07-25
Norris City,IL,NA,2019-07-25
Sugar Land,TX,triangle,2019-07-25
Pyramid Lake,NV,other,2019-07-25
Decatur,TX,oval,2019-07-25
Marion,NC,formation,2019-07-25
Perth (Australia),NA,triangle,2006-04-16
Exeter,NE,fireball,2006-04-16
Filmore,UT,diamond,2006-04-16
Jackson,MI,disk,2006-04-16
Surprise,AZ,NA,2006-04-17
Surpriswe,AZ,unknown,2006-04-17
Industry,CA,oval,2006-04-17
Columbus,IN,formation,2006-04-17
Satellite Beach,FL,light,2006-04-17
Houston,TX,oval,2006-04-17
Edinburgh (UK/Scotland),NA,circle,2006-04-17
Topsail Beach,NC,circle,2019-07-25
North Topsail Beach,NC,light,2019-07-25
Pearl,CO,circle,2019-07-25
Surf City,NC,fireball,2019-07-25
Lancaster,PA,light,2019-07-25
Delanson,NY,triangle,2019-07-25
New York,NY,triangle,2019-07-25
Brownsburg,NA,rectangle,2019-07-26
Spokane,WA,cross,2019-07-26
Saint Francis,SD,disk,2019-07-26
Port Saint Lucie,FL,diamond,2019-07-26
Morgan,PA,light,2006-04-17
Hartford,CT,teardrop,2006-04-17
West Fargo,ND,circle,2006-04-17
Grand Forks,ND,circle,2006-04-17
Fairfield,CA,unknown,2006-04-18
Eureka,CA,sphere,2006-04-18
Alexandria,VA,sphere,2006-04-18
Boyertown,PA,triangle,2006-04-18
Budd Lake,NJ,light,2006-04-18
Crockett,CA,other,2006-04-18
DeLeon,TX,light,2006-04-18
Yaounde (Cameroon),NA,diamond,2006-04-18
Odum,GA,circle,2019-07-26
Alexandria,VA,NA,2019-07-26
Calgary,AB,unknown,2019-07-26
Nantucket,MA,light,2019-07-26
Adirondack,NY,sphere,2019-07-26
Philipsburg,PA,triangle,2019-07-26
Bentonville,AR,triangle,2019-07-26
Aitkin,MN,disk,2019-07-26
Crystal Lake,IL,circle,2019-07-26
Dunajska Luzna (Slovakia),NA,circle,2019-07-26
Alexandria,VA,light,2019-07-26
Poulsbo,WA,sphere,2019-07-26
Ottawa,IL,light,2006-04-19
Las Vegas,NV,light,2006-04-19
Rawalpindi (Pakistan),NA,other,2006-04-19
Maysville,NC,sphere,2006-04-19
Morrison,TN,cone,2006-04-19
Washington Court House,OH,disk,2006-04-19
Washington Court House,OH,disk,2006-04-19
Newton,KS,unknown,2006-04-19
Kansas City,MO,light,2006-04-19
Claremore,OK,light,2006-04-19
Peru,IN,other,2006-04-19
Fort McMurray,AB,triangle,2006-04-19
Morinville,AB,other,2006-04-19
Elk Grove,CA,rectangle,2019-07-26
Crystal Lake,IL,light,2019-07-27
Spokane,WA,light,2019-07-27
Clarksville,TN,NA,2019-07-27
Ocala,FL,NA,2019-07-27
North Charleston,SC,other,2019-07-27
Bonne Terre,MO,light,2019-07-27
Portland,IN,light,2019-07-27
Gurnee,IL,cigar,2019-07-27
Largo,FL,light,2019-07-27
Etna,NH,unknown,2019-07-27
El Dorado Hills,CA,light,2019-07-27
Bridgewater,VT,circle,2019-07-27
Silver Spring,MD,cigar,2006-04-20
West Lafayette,IN,fireball,2006-04-20
Maricopa,AZ,light,2006-04-20
Newaygo,MI,light,2006-04-20
Rochester,MN,circle,2006-04-20
Knoxville,TN,cylinder,2006-04-20
Austin,TX,circle,2006-04-21
Charlotte,NC,unknown,2006-04-21
Michigan City,IN,sphere,2006-04-21
Anza Borrego State Park,CA,triangle,2006-04-21
Burneyville,OK,light,2006-04-21
Albuquerque,NM,triangle,2006-04-21
South Dennis,MA,unknown,2006-04-21
Bellevue,OH,fireball,2019-07-27
Lake Elsinore,CA,NA,2019-07-27
Levittown,NY,sphere,2019-07-27
Stigler,OK,cigar,2019-07-27
Cedar Lake,IN,cigar,2019-07-27
Waianae,HI,light,2019-07-28
Freeport,IL,light,2019-07-28
Bayonne,NJ,teardrop,2019-07-28
Foster,RI,sphere,2019-07-28
Fargo,ND,light,2019-07-28
Montreal,QC,sphere,2019-07-28
Destin,FL,light,2019-07-28
Richmond,IN,light,2019-07-28
San Felipe (Mexico),NA,disk,2006-04-22
Hanover,MD,disk,2006-04-22
Lake Stevens,WA,unknown,2006-04-22
Norwalk,CA,light,2006-04-22
Whittier,CA,fireball,2006-04-22
Asheville,NC,unknown,2006-04-22
Springfield,OR,light,2006-04-22
Anna,TX,triangle,2006-04-22
Clarksville,IN,fireball,2006-04-22
Slater,MO,light,2006-04-22
Renton,WA,light,2006-04-22
Chupadero,NM,disk,2006-04-22
Pismo Beach,CA,light,2006-04-22
Richmond,IN,light,2019-07-28
Newark,OH,circle,2019-07-28
Richmond,VA,triangle,2019-07-28
Saguaro Lake,AZ,disk,2019-07-28
Orlando,FL,oval,2019-07-28
Grass Valley,CA,other,2019-07-28
Myrtle Beach,SC,other,2019-07-28
San Antonio,TX,NA,2019-07-28
Tempe,AZ,light,2019-07-28
Pueblo West,CO,NA,2019-07-28
Portland,IN,light,2019-07-28
Tallinn (Estonia),NA,oval,2006-04-23
Fallbrook,CA,light,2006-04-23
Ogden,UT,light,2006-04-23
Destin,FL,unknown,2006-04-23
Bluefield,WV,fireball,2006-04-23
San Diego,CA,fireball,2006-04-23
Waynesboro,PA,triangle,2006-04-23
Midland,TX,changing,2006-04-23
Bremerton,WA,other,2006-04-23
Roseburg,OR,disk,2006-04-23
Dallesport,WA,changing,2006-04-24
Fort Lee,NJ,light,2019-07-28
Rawlins,WY,light,2019-07-28
Clinton,TN,other,2019-07-28
Lake Stevens,WA,diamond,2019-07-28
Midlothian,VA,circle,2019-07-28
Kettle Falls,WA,unknown,2019-07-28
Corona,CA,cylinder,2019-07-28
Rio Rancho,NM,oval,2019-07-29
Puyallup,WA,light,2019-07-29
Salina,UT,light,2019-07-29
Sterling Heights,MI,teardrop,2006-04-24
Colorado Springs,CO,unknown,2006-04-24
Terrace,BC,light,2006-04-24
The Pas,MB,light,2006-04-24
Yakima,WA,light,2006-04-24
Tallinn (Estonia),NA,other,2006-04-24
Doncaster (UK/England),NA,light,2006-04-25
Mukilteo,WA,disk,2006-04-25
Wickenburg,AZ,circle,2006-04-25
Biglake,MN,light,2006-04-25
Sturbridge,MA,unknown,2006-04-25
Tallinn (Estonia),NA,triangle,2006-04-25
Watsonville,CA,egg,2019-07-29
Shoreline,WA,light,2019-07-29
San Pedro,CA,unknown,2019-07-29
Palm Desert,CA,formation,2019-07-29
Brook Park,OH,NA,2019-07-29
Orlando,FL,light,2019-07-29
Charleston,SC,light,2019-07-29
Crestview,FL,disk,2019-07-29
Folsom,CA,triangle,2019-07-30
Southlake,TX,light,2019-07-30
Southlake,TX,fireball,2019-07-30
Portland,OR,rectangle,2006-04-25
Lurgan (Northern Ireland),NA,light,2006-04-26
Mineola,TX,other,2006-04-26
Ishpeming,MI,light,2006-04-26
Naples,FL,formation,2006-04-27
Portland,OR,oval,2006-04-27
Santa Maria,CA,rectangle,2006-04-27
Williamsburg,VA,other,2006-04-27
Theunisen,SK,circle,2006-04-28
Riverton,IL,changing,2006-04-28
South Shore,KY,cigar,2006-04-28
Tel Aviv (Israel),NA,teardrop,2006-04-28
Sharon,PA,light,2019-07-30
Powell River,BC,formation,2019-07-30
Washago,ON,circle,2019-07-30
Middleboro,MA,triangle,2019-07-30
Middleboro,MA,triangle,2019-07-30
Spokane Valley,WA,NA,2019-07-30
Newport,TN,light,2019-07-30
Newport,TN,light,2019-07-30
Nashua,NH,NA,2019-07-30
Joinville (Brazil),NA,formation,2019-07-30
Victorville,CA,sphere,2019-07-30
Salem,OR,other,2006-04-28
Reno,NV,formation,2006-04-28
Jericho,VT,rectangle,2006-04-28
East Brunswick,NJ,fireball,2006-04-28
Portland,OR,light,2006-04-29
College Place,WA,circle,2006-04-29
Los Angeles,CA,unknown,2006-04-29
Boise,ID,light,2006-04-29
Binghamton,NY,unknown,2006-04-29
Vancouver,WA,triangle,2006-04-29
Minden,LA,unknown,2006-04-29
New York,NY,cigar,2006-04-29
Kossuth,MS,circle,2019-07-30
Climax Springs,MO,circle,2019-07-30
Crow Agency,MT,formation,2019-07-30
Farmington,ME,light,2019-07-30
Folly Beach,SC,light,2019-07-30
Isle of Palms,SC,formation,2019-07-30
Albuquerque,NM,light,2019-07-30
Folly Beach,SC,circle,2019-07-30
Albuquerque,NM,flash,2019-07-30
Sicklerville,NJ,cross,2019-07-30
Shelby,MI,oval,2019-07-30
South Salt Lake City,UT,light,2006-04-29
Idaho Falls,ID,disk,2006-04-29
Jackson,CA,circle,2006-04-29
Portland,OR,fireball,2006-04-29
Portland,OR,formation,2006-04-29
Portland,OR,changing,2006-04-29
Portland,OR,changing,2006-04-29
Portland,OR,changing,2006-04-29
Portland,OR,sphere,2006-04-29
Portland,OR,light,2006-04-29
Fernandina Beach,FL,disk,2019-07-31
Norwalk,CT,NA,2019-07-31
Lakeville,MN,flash,2019-07-31
Millbrook,NY,fireball,2019-07-31
Pembroke,NH,NA,2019-07-31
Walla Walla,WA,NA,2019-07-31
Los Angeles,CA,other,2019-07-31
Astoria,NY,cigar,2019-07-31
Chattanooga,TN,fireball,2019-07-31
Shreveport,LA,triangle,2019-07-31
Differdange (Luxemburg),NA,oval,2006-04-30
Phoenix,AZ,other,2006-04-30
Walla Walla,WA,circle,2006-04-30
Gold Coast (Australia),NA,teardrop,2006-04-30
Bear River,WY,sphere,2006-04-30
Yakima,WA,light,2006-04-30
Tikrit (Iraq),NA,unknown,2006-04-30
Orange,TX,triangle,2006-04-30
Euless,TX,triangle,2006-04-30
Ararat,VA,oval,2019-07-31
Ararat,VA,egg,2019-07-31
Black Forest,CO,light,2019-07-31
Manson,WA,light,2019-07-31
Kendal,ON,light,2019-07-31
Portland,IN,light,2019-07-31
Oologah,OK,other,2019-07-31
Lakeville,MN,unknown,2019-07-31
Clarksville,TN,NA,2019-08-01
Los Angeles,CA,diamond,2019-08-01
Roseville,CA,other,2006-04-30
Dana,IN,triangle,2006-04-30
Kingsville,MO,other,2006-05-01
Las Vegas,NV,diamond,2006-05-01
Cartwright,OK,light,2006-05-01
Carthage,NY,sphere,2006-05-01
Wilmington,DE,triangle,2006-05-01
Canton,IL,triangle,2006-05-01
Victoria,BC,light,2006-05-01
New Johnsonville,TN,fireball,2019-08-01
Saint Peter,MN,sphere,2019-08-01
Great Falls,MT,light,2019-08-01
South Haven,MI,circle,2019-08-01
Decatur,TX,unknown,2019-08-01
Kochi (India),NA,light,2019-08-01
Pensacola,FL,triangle,2019-08-01
Empire,MN,disk,2019-08-01
Ashland,OR,light,2019-08-01
Hattieville,AR,disk,2019-08-01
San Diego,CA,light,2019-08-01
Omaha,NE,oval,2006-05-02
San Jose,CA,changing,2006-05-02
Abbotsford,BC,disk,2006-05-02
Panama City Beach,FL,unknown,2006-05-02
Redmond,WA,triangle,2006-05-02
Fort Myers,FL,sphere,2006-05-03
Hollywood,FL,triangle,2006-05-03
Franklin,IN,triangle,2006-05-03
Throop,PA,unknown,2006-05-03
Wausau,WI,egg,2006-05-04
Hemet,CA,NA,2019-08-01
Dexter,MI,oval,2019-08-01
Gouldsboro,PA,triangle,2019-08-01
Wayne,NJ,other,2019-08-01
Midway,FL,unknown,2019-08-01
Hillsville,PA,flash,2019-08-02
Bar Harbor,ME,light,2019-08-02
Boise,ID,fireball,2019-08-02
Holiday,FL,other,2019-08-02
Norwalk,CT,NA,2019-08-02
Lords Valley,PA,NA,2019-08-02
Deerfield Beach,FL,fireball,2006-05-04
Glendale,AZ,sphere,2006-05-04
Port Charlotte,FL,light,2006-05-04
Scottsdale,AZ,light,2006-05-04
San Leandro,CA,circle,2006-05-04
El Paso,TX,other,2006-05-04
Washington (UK/England),NA,sphere,2006-05-05
North Montpelier,VT,light,2006-05-05
Wauchula,FL,unknown,2006-05-05
Pomona,CA,light,2006-05-05
Ankara (Turkey),NA,circle,2006-05-06
Orlando,FL,formation,2006-05-06
Holland,MI,NA,NA
Erskine (Renfrewshire)(UK/Scotland),NA,other,NA
Vancouver,BC,light,NA
Corte Madera,CA,cigar,2001-05-15
Williamsport,PA,sphere,2019-06-02
Elsmere,DE,circle,1970-06-30
Medford,OR,oval,1971-07-14
Birmingham,AL,triangle,1976-05-01
Bucyrus,OH,other,1976-07-15
Alexandria,VA,NA,2019-08-02
Pembroke,NH,NA,2019-08-02
Monnroe,NJ,disk,2019-08-02
Saint Paul,MN,circle,2019-08-02
Oshkosh,WI,light,2019-08-02
Salt Lake City,UT,light,2019-08-02
Branford,CT,cylinder,2019-08-02
Fuquay Varina,NC,oval,2019-08-02
Lyndonville,VT,light,2019-08-02
Niagara,ON,triangle,2019-08-03
Maysville,OK,light,2006-05-06
Westminster,CO,light,2006-05-06
UK/Wales,NA,triangle,2006-05-06
Grand Rapids,MI,other,2006-05-06
Redford,MI,sphere,2006-05-06
Fort Myers,FL,sphere,2006-05-06
Lake Wales,FL,formation,2006-05-06
Vero Beach,FL,circle,2006-05-06
Ajax,ON,light,2006-05-06
Newburgh,NY,light,2006-05-06
Grand Rapids,MI,disk,1977-07-20
Bodenham,TN,disk,1980-09-09
Vallejo,CA,light,1996-11-11
Perry,OK,unknown,1998-06-15
Rockford,IL,diamond,2000-01-01
Palm Springs,AZ,changing,2001-05-01
Luxemburg,WI,cylinder,2001-05-26
Goffstown,OH,NA,2019-08-03
Anderson,CA,disk,2019-08-03
Rock Island,IL,cylinder,2019-08-03
Deer Creek,MN,circle,2019-08-03
Pembroke,NH,NA,2019-08-03
South Bend,IN,cross,2019-08-03
Atlantic City,NJ,unknown,2019-08-03
Wilmington,NC,other,2019-08-03
Henning,MN,changing,2019-08-03
Still River,MA,light,2006-05-06
Omaha,NE,triangle,2006-05-06
Winona,MN,formation,2006-05-06
Lafayette,CA,unknown,2006-05-07
Largo,FL,circle,2006-05-07
Chicago,IL,sphere,2006-05-07
Palmdale,CA,unknown,2006-05-07
New Washington,IN,unknown,2006-05-07
Davenport,IA,light,2006-05-07
Brookville,OH,triangle,2006-05-07
East Prospect,PA,fireball,2001-07-24
East Prospect,PA,triangle,2003-10-11
Sax,MN,oval,2005-09-28
I-80,NY,formation,2006-01-01
Genoa,IL,sphere,2007-01-25
West harrison,IN,oval,2008-03-19
Snyder,TX,light,2009-01-10
Sandy,UT,other,2011-07-04
Houston,TX,disk,2011-08-30
Thornton,CO,disk,2012-07-14
Wapiti,WY,oval,2019-08-03
Lords Valley,PA,NA,2019-08-03
Apopka,FL,disk,2019-08-03
West Chester,OH,formation,2019-08-03
West Chester,OH,cylinder,2019-08-03
Deerfield Townsship,OH,unknown,2019-08-03
Huntington,WV,oval,2019-08-03
West Chester,OH,disk,2019-08-03
Louisville,OH,fireball,2019-08-03
NA,WA,other,2006-05-08
Wilmington,DE,triangle,2006-05-08
Bloomington,IL,unknown,2006-05-08
Bloomington,IL,unknown,2006-05-08
Viet Nam,NA,NA,2006-05-09
NAS Lemoore,CA,light,2006-05-09
Sacramento,CA,NA,2006-05-09
San Jose,CA,light,2006-05-09
Yuba City,CA,light,2006-05-09
Fayetteville,AR,cigar,2006-05-09
Somes Bar,CA,light,2006-05-10
Portland,OR,disk,2012-09-20
Cumming,GA,light,2012-12-12
New York,NY,disk,2013-05-29
New York,NY,disk,2013-06-01
Charleston,SC,circle,2013-10-10
Slovakia (in flight)(Slovakia),NA,changing,2014-03-30
Kansas City,KS,other,2014-06-14
North Attleboro,MA,triangle,2014-11-15
Saginaw Township,MI,triangle,2015-07-15
Port Saint Lucie,FL,unknown,2015-10-13
Woonsocket,RI,circle,2019-08-03
Vienna,WV,sphere,2019-08-03
Bondurant,IA,sphere,2019-08-03
Harrisburg,MO,light,2019-08-03
Willard,OH,light,2019-08-03
Lewis,IA,sphere,2019-08-03
Livingston,TX,sphere,2019-08-03
Brookneal,VA,flash,2019-08-03
Manchester,CT,NA,2019-08-04
Idaho Falls,ID,formation,2019-08-04
Moscow,ID,triangle,2006-05-10
Fort Myers,FL,sphere,2006-05-10
Denver,CO,cigar,2006-05-10
Oakland,CA,unknown,2006-05-10
Pilot Mound,MB,triangle,2006-05-11
Long Beach,WA,sphere,2006-05-11
Austin,TX,cigar,2006-05-11
Folsom,CA,disk,2006-05-11
Carlsbad,NM,light,2006-05-11
Carlsbad,NM,light,2006-05-11
Elgin,TX,circle,2006-05-11
Hot Springs National Park,AR,other,2017-03-12
Milford,UT,cigar,2017-06-20
Gearhart,OR,chevron,2017-10-15
